Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,+/-
Taj Gibson,417,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,1,3,2,0
Taj Gibson,755,1,1,1.0,0,0,,0,0,,0,3,3,0,0,1,2,4,2,-5
Joakim Noah,274,0,0,,0,0,,0,0,,1,2,3,0,1,0,1,0,0,8
Joakim Noah,352,0,0,,0,0,,0,2,0.0,1,2,3,2,0,0,0,1,0,-3
Joakim Noah,626,0,0,,0,0,,0,2,0.0,2,4,6,2,1,0,1,1,0,5
Joakim Noah,214,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-7
Joakim Noah,187,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,3
Joakim Noah,401,0,0,,0,0,,0,0,,0,3,3,2,0,0,0,0,0,-4
Doug McDermott,152,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,5
Doug McDermott,273,3,4,0.75,1,2,0.5,0,0,,0,2,2,0,0,0,0,0,7,0
Doug McDermott,425,3,4,0.75,1,2,0.5,0,0,,0,3,3,0,0,0,0,0,7,5
Doug McDermott,274,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Doug McDermott,273,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1,0
Doug McDermott,547,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1,-7
Aaron Brooks,261,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,8
Aaron Brooks,206,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-1
Aaron Brooks,467,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,0,0,2,7
Aaron Brooks,338,2,5,0.4,0,0,,0,0,,0,0,0,0,0,0,2,1,4,-5
Aaron Brooks,127,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,1
Aaron Brooks,465,2,7,0.286,0,1,0.0,0,0,,0,0,0,0,0,0,2,1,4,-4
E'Twaun Moore,298,2,3,0.667,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,4,9
E'Twaun Moore,223,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,1
E'Twaun Moore,521,2,3,0.667,0,1,0.0,0,0,,0,3,3,1,0,0,0,2,4,10
E'Twaun Moore,214,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-7
E'Twaun Moore,127,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,1
E'Twaun Moore,341,3,5,0.6,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,7,-6
Bobby Portis,
Bobby Portis,
Bobby Portis,
Bobby Portis,
Bobby Portis,
Bobby Portis,
Kirk Hinrich,
Kirk Hinrich,
Kirk Hinrich,
Kirk Hinrich,
Kirk Hinrich,
Kirk Hinrich,
Cameron Bairstow,
Cameron Bairstow,
Cameron Bairstow,
Cameron Bairstow,
Cameron Bairstow,
Cameron Bairstow,
