Home Team,Term,Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,H2,Jon Leuer,80,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Q1,Luc Mbah a Moute,181,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,0
0,Q2,Luc Mbah a Moute,620,1,2,0.5,0,0,,0,0,,1,1,2,0,1,0,1,3,2,-2
0,H1,Luc Mbah a Moute,801,1,2,0.5,0,0,,0,0,,1,2,3,0,1,0,2,3,2,-2
0,Q3,Luc Mbah a Moute,230,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0
0,Q4,Luc Mbah a Moute,435,1,4,0.25,0,0,,2,2,1.0,0,2,2,0,1,0,1,1,4,4
0,H2,Luc Mbah a Moute,665,1,4,0.25,0,0,,2,2,1.0,1,3,4,0,1,0,1,1,4,4
0,Q1,Ersan İlyasova,
0,Q2,Ersan İlyasova,263,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,5
0,H1,Ersan İlyasova,263,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,5
0,Q3,Ersan İlyasova,720,1,4,0.25,1,1,1.0,0,0,,1,5,6,2,2,0,3,0,3,8
0,Q4,Ersan İlyasova,388,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,1,1,0,2
0,H2,Ersan İlyasova,1108,1,5,0.2,1,1,1.0,0,0,,1,6,7,3,2,0,4,1,3,10
0,Q1,Drew Gooden,460,1,5,0.2,0,0,,2,2,1.0,1,1,2,0,0,0,0,0,4,-1
0,Q2,Drew Gooden,507,1,1,1.0,0,0,,3,4,0.75,1,3,4,0,0,0,2,0,5,4
0,H1,Drew Gooden,967,2,6,0.333,0,0,,5,6,0.833,2,4,6,0,0,0,2,0,9,3
0,Q3,Drew Gooden,112,0,0,,0,0,,1,2,0.5,0,2,2,0,0,0,0,1,1,-1
0,Q4,Drew Gooden,214,0,3,0.0,0,0,,0,0,,1,2,3,0,0,0,0,0,0,0
0,H2,Drew Gooden,326,0,3,0.0,0,0,,1,2,0.5,1,4,5,0,0,0,0,1,1,-1
0,Q1,Mike Dunleavy,150,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
0,Q2,Mike Dunleavy,322,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,2,1,0,0,0,1,-1
0,H1,Mike Dunleavy,472,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,2,1,0,0,0,1,-3
0,Q3,Mike Dunleavy,112,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q4,Mike Dunleavy,214,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,0,0
0,H2,Mike Dunleavy,326,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1
0,Q1,Beno Udrih,181,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,0
0,Q2,Beno Udrih,262,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3
0,H1,Beno Udrih,443,1,4,0.25,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,2,-3
0,Q3,Beno Udrih,
0,Q4,Beno Udrih,214,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0
0,H2,Beno Udrih,214,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0
1,Q1,Amar'e Stoudemire,406,2,4,0.5,0,0,,0,0,,1,2,3,0,0,0,2,1,4,-5
1,Q2,Amar'e Stoudemire,698,2,4,0.5,0,0,,3,4,0.75,1,3,4,0,0,0,2,1,7,2
1,H1,Amar'e Stoudemire,1104,4,8,0.5,0,0,,3,4,0.75,2,5,7,0,0,0,4,2,11,-3
1,Q3,Amar'e Stoudemire,473,2,2,1.0,0,0,,0,0,,0,1,1,0,1,0,0,0,4,-8
1,Q4,Amar'e Stoudemire,640,0,3,0.0,0,0,,0,0,,2,1,3,0,0,1,1,1,0,-2
1,H2,Amar'e Stoudemire,1113,2,5,0.4,0,0,,0,0,,2,2,4,0,1,1,1,1,4,-10
1,Q1,Carmelo Anthony,720,4,7,0.571,1,3,0.333,4,4,1.0,0,2,2,0,0,0,3,1,13,-4
1,Q2,Carmelo Anthony,341,0,6,0.0,0,1,0.0,0,0,,3,0,3,1,0,0,0,0,0,-5
1,H1,Carmelo Anthony,1061,4,13,0.308,1,4,0.25,4,4,1.0,3,2,5,1,0,0,3,1,13,-9
1,Q3,Carmelo Anthony,720,3,8,0.375,0,1,0.0,3,4,0.75,0,0,0,1,1,0,1,1,9,-8
1,Q4,Carmelo Anthony,351,4,5,0.8,1,1,1.0,4,5,0.8,0,0,0,0,0,0,0,1,13,-2
1,H2,Carmelo Anthony,1071,7,13,0.538,1,2,0.5,7,9,0.778,0,0,0,1,1,0,1,2,22,-10
1,Q1,Tyson Chandler,671,1,2,0.5,0,0,,2,2,1.0,2,3,5,0,0,0,1,1,4,-4
1,Q2,Tyson Chandler,341,1,1,1.0,0,0,,3,4,0.75,1,2,3,0,0,0,1,0,5,-5
1,H1,Tyson Chandler,1012,2,3,0.667,0,0,,5,6,0.833,3,5,8,0,0,0,2,1,9,-9
1,Q3,Tyson Chandler,647,0,1,0.0,0,0,,0,0,,0,3,3,0,0,1,0,2,0,-8
1,Q4,Tyson Chandler,364,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,1,2,-2
1,H2,Tyson Chandler,1011,0,2,0.0,0,0,,2,2,1.0,1,3,4,0,0,1,0,3,2,-10
1,Q1,Landry Fields,406,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,2,-5
1,Q2,Landry Fields,576,3,3,1.0,1,1,1.0,1,3,0.333,0,0,0,1,0,0,0,0,8,1
1,H1,Landry Fields,982,4,5,0.8,1,2,0.5,1,3,0.333,0,0,0,1,1,0,0,0,10,-4
1,Q3,Landry Fields,391,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,3,0,0,-3
1,Q4,Landry Fields,571,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,-2
1,H2,Landry Fields,962,0,2,0.0,0,1,0.0,0,0,,0,2,2,2,0,0,3,0,0,-5
1,Q1,Iman Shumpert,406,0,2,0.0,0,0,,0,0,,0,0,0,2,1,0,0,0,0,-5
1,Q2,Iman Shumpert,420,0,1,0.0,0,1,0.0,0,0,,0,2,2,3,1,0,0,2,0,-3
1,H1,Iman Shumpert,826,0,3,0.0,0,1,0.0,0,0,,0,2,2,5,2,0,0,2,0,-8
1,Q3,Iman Shumpert,254,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2
1,Q4,Iman Shumpert,720,0,2,0.0,0,1,0.0,4,4,1.0,0,1,1,0,2,0,2,1,4,-2
1,H2,Iman Shumpert,974,0,2,0.0,0,1,0.0,4,4,1.0,0,1,1,0,2,0,3,3,4,-4
1,Q1,Henry Walker,314,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,0,1
1,Q2,Henry Walker,300,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,2,3,3
1,H1,Henry Walker,614,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,1,0,0,2,3,4
1,Q3,Henry Walker,329,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-5
1,Q4,Henry Walker,356,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0
1,H2,Henry Walker,685,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,1,0,-5
1,Q1,Josh Harrellson,50,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
1,Q2,Josh Harrellson,401,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,2,1,0,1,3,3
1,H1,Josh Harrellson,451,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,2,1,0,1,3,3
1,Q3,Josh Harrellson,247,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,0
1,Q4,Josh Harrellson,369,0,1,0.0,0,1,0.0,0,1,0.0,0,2,2,0,0,0,2,1,0,0
1,H2,Josh Harrellson,616,1,2,0.5,1,2,0.5,0,1,0.0,0,3,3,0,0,0,2,1,3,0
1,Q1,Toney Douglas,314,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,1
1,Q2,Toney Douglas,262,1,3,0.333,0,0,,0,0,,0,1,1,2,1,0,1,1,2,3
1,H1,Toney Douglas,576,1,5,0.2,0,1,0.0,0,0,,0,1,1,2,1,0,1,1,2,4
1,Q3,Toney Douglas,219,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-6
1,Q4,Toney Douglas,80,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,0,0
1,H2,Toney Douglas,299,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,3,1,0,-6
1,Q1,Jared Jeffries,314,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,1
1,Q2,Jared Jeffries,
1,H1,Jared Jeffries,314,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,1
1,Q3,Jared Jeffries,73,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0
1,Q4,Jared Jeffries,149,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,H2,Jared Jeffries,222,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0
1,Q1,Mike Bibby,
1,Q2,Mike Bibby,261,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,0,1
1,H1,Mike Bibby,261,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,0,1
1,Q3,Mike Bibby,247,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,0
1,Q4,Mike Bibby,
1,H2,Mike Bibby,247,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,0
