Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,+/-
Leandro Barbosa,303,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,5
Leandro Barbosa,537,0,3,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,2,0,10
Festus Ezeli,153,1,1,1.0,0,0,,1,1,1.0,0,0,0,0,0,0,0,0,3,-5
Festus Ezeli,78,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Festus Ezeli,231,1,2,0.5,0,0,,1,1,1.0,0,1,1,0,0,0,0,0,3,-7
Festus Ezeli,368,3,5,0.6,0,0,,0,1,0.0,3,0,3,1,0,1,0,1,6,8
Festus Ezeli,417,2,3,0.667,0,0,,0,0,,0,0,0,0,1,0,1,1,4,-8
Festus Ezeli,785,5,8,0.625,0,0,,0,1,0.0,3,0,3,1,1,1,1,2,10,0
Marreese Speights,
Marreese Speights,280,0,3,0.0,0,0,,2,2,1.0,3,0,3,0,0,1,1,0,2,-3
Marreese Speights,280,0,3,0.0,0,0,,2,2,1.0,3,0,3,0,0,1,1,0,2,-3
Marreese Speights,59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Marreese Speights,303,2,4,0.5,1,1,1.0,2,2,1.0,1,0,1,1,0,0,1,1,7,5
Marreese Speights,362,2,4,0.5,1,1,1.0,2,2,1.0,1,1,2,1,0,0,1,1,7,5
James Michael McAdoo,51,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1
James Michael McAdoo,
James Michael McAdoo,51,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1
James Michael McAdoo,
James Michael McAdoo,100,0,0,,0,0,,2,2,1.0,0,0,0,0,1,0,1,2,2,3
James Michael McAdoo,100,0,0,,0,0,,2,2,1.0,0,0,0,0,1,0,1,2,2,3
Brandon Rush,
Brandon Rush,
Brandon Rush,
Brandon Rush,
Brandon Rush,100,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3
Brandon Rush,100,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3
